epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,4602.21,0.99802,1.05707,1.35571,0.4999,0.50958,0.48305,0.36244,1.00223,0.83362,1.40286,0.000555393,0.000555393,0.000555393
2,8827.86,0.92278,0.8263,1.28151,0.58725,0.56834,0.56255,0.41173,0.95323,0.72291,1.30989,0.0010744,0.0010744,0.0010744
3,14038.8,0.92371,0.81904,1.27289,0.61408,0.58037,0.5742,0.4364,0.8155,0.64925,1.18858,0.00155672,0.00155672,0.00155672
4,20562,0.88454,0.78096,1.24415,0.63301,0.60141,0.58949,0.46192,0.72051,0.58621,1.1066,0.00150197,0.00150197,0.00150197
5,27096.3,0.85466,0.74916,1.2245,0.62968,0.63091,0.6096,0.47129,0.72047,0.58127,1.10141,0.00144696,0.00144696,0.00144696
6,33638.6,0.82142,0.72563,1.19983,0.65945,0.64531,0.62674,0.49091,0.64968,0.52425,1.04125,0.00139195,0.00139195,0.00139195
7,40192.7,0.79629,0.68899,1.18363,0.63701,0.66004,0.62522,0.50866,0.59828,0.48395,0.98887,0.00133693,0.00133693,0.00133693
8,46655.9,0.76636,0.66733,1.1646,0.65305,0.67319,0.64473,0.51905,0.5816,0.46645,0.97627,0.00128192,0.00128192,0.00128192
9,50854.7,0.74767,0.64348,1.15001,0.66888,0.70342,0.66932,0.54217,0.55028,0.44635,0.94973,0.00122691,0.00122691,0.00122691
10,55282.3,0.72809,0.63089,1.13763,0.6853,0.70331,0.67903,0.53704,0.52771,0.42093,0.93077,0.0011719,0.0011719,0.0011719
11,59612,0.72253,0.61693,1.13554,0.64515,0.69614,0.63157,0.51495,0.51693,0.42311,0.9244,0.00111689,0.00111689,0.00111689
12,63908.1,0.6969,0.60167,1.12103,0.68436,0.7195,0.68158,0.54807,0.49522,0.39804,0.90763,0.00106188,0.00106188,0.00106188
13,68220.1,0.68792,0.59006,1.11512,0.70634,0.69651,0.68076,0.55186,0.47835,0.39738,0.89651,0.00100687,0.00100687,0.00100687
