epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,925.944,1.25569,1.59622,1.32069,0.78595,0.3902,0.59268,0.38287,1.31523,1.23996,1.18507,0.00333233,0.00333233,0.070009
2,1827.33,1.19262,1.15587,1.27016,0.58578,0.458,0.54234,0.3706,1.2064,0.93255,1.1133,0.00665916,0.00665916,0.0400025
3,2722.99,1.25362,1.1465,1.31113,0.51298,0.46535,0.50329,0.33446,1.29317,1.06341,1.20045,0.00995997,0.00995997,0.00996996
4,3608.39,1.26743,1.12955,1.31944,0.57784,0.50731,0.50746,0.34499,1.24695,1.05748,1.20317,0.00991232,0.00991232,0.00991232
5,4495.03,1.19376,1.01772,1.27556,0.60695,0.65716,0.60334,0.44138,0.9921,0.6631,0.98951,0.00984449,0.00984449,0.00984449
6,5388.71,1.14114,0.94163,1.24307,0.57534,0.59466,0.57554,0.42024,1.14453,0.78974,1.13479,0.00975773,0.00975773,0.00975773
7,6284.13,1.10092,0.89009,1.22563,0.64135,0.73063,0.65411,0.50188,0.91629,0.57047,0.94212,0.00965239,0.00965239,0.00965239
8,7174.19,1.06765,0.85075,1.19945,0.64206,0.69504,0.6391,0.4936,0.88507,0.53737,0.92334,0.00952889,0.00952889,0.00952889
9,8064.04,1.03309,0.81214,1.1845,0.67921,0.65391,0.64517,0.50574,0.88364,0.5301,0.93025,0.00938772,0.00938772,0.00938772
10,8951.47,1.00688,0.79729,1.17227,0.70709,0.70439,0.65548,0.52122,0.82867,0.48362,0.8889,0.00922942,0.00922942,0.00922942
11,9840.61,0.98608,0.76911,1.16202,0.69004,0.77708,0.68657,0.52973,0.86273,0.46888,0.89389,0.00905463,0.00905463,0.00905463
12,10729,0.96435,0.75122,1.14809,0.6632,0.74359,0.63664,0.51313,0.75144,0.45228,0.8599,0.00886404,0.00886404,0.00886404
13,11620,0.94664,0.73351,1.14029,0.72326,0.7911,0.71188,0.57847,0.74548,0.41739,0.8503,0.00865839,0.00865839,0.00865839
14,12507.5,0.92356,0.71042,1.12466,0.68313,0.77927,0.66521,0.55364,0.72088,0.40992,0.83359,0.00843851,0.00843851,0.00843851
15,13397,0.90961,0.69693,1.12124,0.72904,0.81068,0.71135,0.58025,0.73541,0.39842,0.83843,0.00820525,0.00820525,0.00820525
16,14286,0.89234,0.68499,1.1122,0.77444,0.78265,0.73247,0.60402,0.69816,0.3853,0.82162,0.00795954,0.00795954,0.00795954
17,15174.6,0.87996,0.66537,1.10098,0.69606,0.83555,0.7029,0.59115,0.67911,0.3819,0.81777,0.00770234,0.00770234,0.00770234
18,16060,0.8643,0.65834,1.09801,0.70657,0.85428,0.70837,0.59847,0.65264,0.36891,0.80572,0.00743468,0.00743468,0.00743468
19,16948.3,0.85186,0.64851,1.09402,0.73593,0.83775,0.73321,0.6138,0.67629,0.36351,0.81005,0.00715761,0.00715761,0.00715761
20,17836.6,0.84321,0.63275,1.08669,0.7291,0.84683,0.72649,0.60745,0.69899,0.37531,0.81697,0.00687222,0.00687222,0.00687222
21,18726.7,0.82786,0.62679,1.07815,0.73796,0.86477,0.75549,0.63843,0.66958,0.36159,0.80291,0.00657963,0.00657963,0.00657963
22,19616,0.8195,0.61506,1.07655,0.7487,0.82467,0.73901,0.6298,0.64008,0.34568,0.79832,0.00628101,0.00628101,0.00628101
